ticker,fiscal_year,period_type,statement_type,metric_id,value,unit,document_title,page_number,table_name,extracted_text,extraction_method,verified_by,verified_at
DVN,2023,FY,balance_sheet,inventory.ending,1243.513,vnd_bn,DVN FY2023 Annual Report / Audited Financial Statements,38,,Hàng tồn kho,pdf_table,,
DVN,2023,FY,balance_sheet,inventory.ending,55330.0,vnd_bn,DVN FY2023 Annual Report / Audited Financial Statements,38,,"Dự phòng giảm giá hàng tồn
kho",pdf_table,,
DVN,2023,FY,balance_sheet,current_assets.ending,31057.0,vnd_bn,DVN FY2023 Annual Report / Audited Financial Statements,38,,Tài sản ngắn hạn khác,pdf_table,,
DVN,2023,FY,balance_sheet,fixed_assets.ending,301186.0,vnd_bn,DVN FY2023 Annual Report / Audited Financial Statements,38,,Tài sản cố định,pdf_table,,
DVN,2023,FY,balance_sheet,current_assets.ending,4079.939,vnd_bn,DVN FY2023 Annual Report / Audited Financial Statements,38,,TÀI SẢN NGẮN HẠN,pdf_table,,
DVN,2023,FY,balance_sheet,cash_and_equivalents.ending,104326.0,vnd_bn,DVN FY2023 Annual Report / Audited Financial Statements,38,,"Tiền và các khoản tương đương
tiền",pdf_table,,
DVN,2023,FY,balance_sheet,accounts_receivable.ending,1777.793,vnd_bn,DVN FY2023 Annual Report / Audited Financial Statements,38,,Các khoản phải thu ngắn hạn,pdf_table,,
DVN,2023,FY,income_statement,cash_and_equivalents.ending,110.0,vnd_bn,DVN FY2023 Annual Report / Audited Financial Statements,45,,I. Tiền và các khoản tương đương tiền,pdf_table,,
DVN,2023,FY,income_statement,accounts_receivable.ending,130.0,vnd_bn,DVN FY2023 Annual Report / Audited Financial Statements,45,,III. Các khoản phải thu ngắn hạn,pdf_table,,
DVN,2023,FY,income_statement,inventory.ending,140.0,vnd_bn,DVN FY2023 Annual Report / Audited Financial Statements,45,,IV. Hàng tồn kho,pdf_table,,
DVN,2023,FY,income_statement,inventory.ending,141.0,vnd_bn,DVN FY2023 Annual Report / Audited Financial Statements,45,,1. Hàng tồn kho,pdf_table,,
DVN,2023,FY,income_statement,inventory.ending,149.0,vnd_bn,DVN FY2023 Annual Report / Audited Financial Statements,45,,2. Dự phòng giảm giá hàng tồn kho,pdf_table,,
