ticker,run_id,status,old_current_price,old_raw_model_target,old_headline_target,old_headline_upside,old_target_adjustment,new_current_price,new_raw_model_target,new_headline_target,new_headline_upside,new_target_adjustment,new_target_band_low,new_target_band_high,old_publishable,new_publishable,price_preflight_status,price_source,price_as_of,price_high,price_low,price_high_52w,price_low_52w,price_staleness_days,price_warnings
DHG,run_dhg_20260617T151159_c3f995776a,written,93400.0,102156.0,102156.0,0.09374732334047109,none,93400.0,95590.0,95590.0,0.02344753747323347,none,56040.0,130759.0,True,True,market_price_ready,manual_market_prices:cafef_price_history,2026-06-19,93500.0,93000.0,94900.0,92300.0,3,
IMP,run_imp_20260614T192211_20214a997d,written,45500.0,29009.0,29009.0,-0.3624395604395605,none,45500.0,24778.0,27300.0,-0.4,clamped_low,27300.0,63699.0,True,True,market_price_ready,manual_market_prices:cafef_price_history,2026-06-19,45500.0,45500.0,46800.0,45000.0,3,
DMC,run_dmc_20260614T202708_08716e3c9f,written,57600.0,59161.0,59161.0,0.027100694444444517,none,57600.0,48363.0,48363.0,-0.16036458333333337,none,34560.0,80640.0,True,True,market_price_ready,manual_market_prices:cafef_price_history,2026-06-19,57600.0,57600.0,59800.0,57200.0,3,
TRA,run_tra_20260616T150203_c543854e97,written,77900.0,95837.0,95837.0,0.23025673940949942,none,77900.0,67914.0,67914.0,-0.12818998716302954,none,46740.0,109060.0,True,True,market_price_ready,manual_market_prices:cafef_price_history,2026-06-19,78000.0,77900.0,81000.0,76000.0,3,
DBD,run_dbd_20260614T035358_54aa653a73,written,49950.0,31389.0,31389.0,-0.3715915915915916,none,49950.0,28338.0,29970.0,-0.4,clamped_low,29970.0,69930.0,True,True,market_price_ready,manual_market_prices:cafef_price_history,2026-06-19,49950.0,49550.0,51800.0,49050.0,3,
MKP,run_mkp_20260614T210754_8e0e1ff588,written,26700.0,44479.0,37380.0,0.3999999999999999,clamped_high,26700.0,27067.0,27067.0,0.013745318352059943,none,16020.0,37380.0,True,True,market_price_ready,manual_market_prices:fact.price_history,2026-06-18,26700.0,26700.0,41000.0,21900.0,4,
TNH,run_tnh_20260616T204027_2bf31257f9,written,9000.0,973.0,5400.0,-0.4,clamped_low,9000.0,1151.0,5400.0,-0.4,clamped_low,5400.0,12600.0,False,False,market_price_ready,manual_market_prices:cafef_price_history,2026-06-19,9100.0,8950.0,9780.0,8810.0,3,
JVC,run_jvc_20260616T204723_e3744866ff,written,3690.0,3678.0241705517788,3678.0,-0.003252032520325243,none,3690.0,2418.909558431257,2419.0,-0.34444444444444444,none,2214.0,5166.0,False,False,market_price_ready,manual_market_prices:cafef_price_history,2026-06-19,3830.0,3680.0,4210.0,3530.0,3,
DVN,run_dvn_20260616T205753_74904d6f98,written,20700.0,11842.0,12420.0,-0.4,clamped_low,20700.0,10185.0,12420.0,-0.4,clamped_low,12420.0,28979.0,False,True,market_price_ready,manual_market_prices:fact.price_history,2026-06-18,20800.0,20500.0,25600.0,18700.0,4,
DHT,run_dht_20260618T152739_564f02dd58,written,66300.0,16288.0,39780.0,-0.4,clamped_low,66300.0,8669.0,39780.0,-0.4,clamped_low,39780.0,92820.0,True,False,market_price_ready,manual_market_prices:fact.price_history,2026-06-18,66500.0,64500.0,86800.0,61100.0,4,
LDP,run_ldp_20260617T022640_37b154eb70,written,8300.0,9470.0,9470.0,0.14096385542168677,none,8300.0,37920.0,11620.0,0.3999999999999999,clamped_high,4980.0,11620.0,True,True,market_price_ready,manual_market_prices:fact.price_history,2026-06-18,8800.0,8300.0,14900.0,7000.0,4,
PPP,run_ppp_20260617T023720_ad02f17fc9,written,18100.0,24736.0,24736.0,0.36662983425414364,none,18100.0,19464.0,19464.0,0.07535911602209944,none,10860.0,25340.0,True,True,market_price_ready,manual_market_prices:fact.price_history,2026-06-16,18100.0,18100.0,21410.0,16400.0,6,
